block,street_name,Address,Postal,Latitude,Longitude
309,ANG MO KIO AVE 1,207 ANG MO KIO AVENUE 1 ANG MO KIO 22 SINGAPORE 560207,560207,1.36582089504381,103.842847772078
216,ANG MO KIO AVE 1,216 ANG MO KIO AVENUE 1 ANG MO KIO 22 SINGAPORE 560216,560216,1.36619678831054,103.841505011903
211,ANG MO KIO AVE 3,211 ANG MO KIO AVENUE 3 SINGAPORE 560211,560211,1.369196965617,103.841666636086
202,ANG MO KIO AVE 3,202 ANG MO KIO AVENUE 3 ANG MO KIO VIEW SINGAPORE 560202,560202,1.36844644010937,103.844516260527
235,ANG MO KIO AVE 3,235 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560235,560235,1.36682360872342,103.83649123351
232,ANG MO KIO AVE 3,232 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560232,560232,1.36834606813391,103.837196046409
308,ANG MO KIO AVE 1,308C ANG MO KIO AVENUE 1 TECK GHEE VISTA SINGAPORE 563308,563308,1.36569665029696,103.844347269095
220,ANG MO KIO AVE 1,220 ANG MO KIO AVENUE 1 ANG MO KIO GROVE SINGAPORE 560220,560220,1.36558833593063,103.840518883254
219,ANG MO KIO AVE 1,219 ANG MO KIO AVENUE 1 ANG MO KIO GROVE SINGAPORE 560219,560219,1.36598198004505,103.840654039612
247,ANG MO KIO AVE 3,327 ANG MO KIO AVENUE 3 ANG MO KIO 31 SINGAPORE 560327,560327,1.36705284380639,103.846987446489
320,ANG MO KIO AVE 1,320 ANG MO KIO AVENUE 1 STAR LEARNERS @ ANG MO KIO PTE. LTD. SINGAPORE 560320,560320,1.36559244608528,103.848386744168
252,ANG MO KIO AVE 4,641 ANG MO KIO AVENUE 4 ANG MO KIO 61 SINGAPORE 560641,560641,1.37858940772641,103.840329743826
223,ANG MO KIO AVE 1,223 ANG MO KIO AVENUE 1 SINGAPORE 560223,560223,1.36604808445916,103.838122716883
230,ANG MO KIO AVE 3,230 ANG MO KIO AVENUE 3 KEBUN BARU PALM VIEW SINGAPORE 560230,560230,1.36885445228086,103.837896397823
329,ANG MO KIO AVE 3,329 ANG MO KIO AVENUE 3 ANG MO KIO 31 SINGAPORE 560329,560329,1.36659908629034,103.846874419073
313,ANG MO KIO AVE 3,313 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560313,560313,1.36664972640598,103.850133665442
117,ANG MO KIO AVE 4,117 ANG MO KIO AVENUE 4 KEBUN BARU HEIGHTS SINGAPORE 560117,560117,1.3737170825368,103.835610469339
110,ANG MO KIO AVE 4,110 ANG MO KIO AVENUE 4 KEBUN BARU HEIGHTS SINGAPORE 560110,560110,1.37045937010888,103.837419259859
343,ANG MO KIO AVE 3,343 ANG MO KIO AVENUE 3 MY FIRST SKOOL SINGAPORE 560343,560343,1.36837474759489,103.849151113749
345,ANG MO KIO AVE 3,345 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560345,560345,1.36748702509964,103.849651723914
346,ANG MO KIO AVE 3,346 ANG MO KIO AVENUE 3 TECK GHEE EVERGREEN SINGAPORE 560346,560346,1.36709586875167,103.84966230288
121,ANG MO KIO AVE 3,121 ANG MO KIO AVENUE 3 SINGAPORE 560121,560121,1.36970563478325,103.843515981311
129,ANG MO KIO AVE 3,129 ANG MO KIO AVENUE 3 YIO CHU KANG VILLE SINGAPORE 560129,560129,1.36989498895756,103.842059049722
130,ANG MO KIO AVE 3,130 ANG MO KIO AVENUE 3 YIO CHU KANG VILLE SINGAPORE 560130,560130,1.37039791675237,103.841878840032
128,ANG MO KIO AVE 3,128 ANG MO KIO AVENUE 3 SINGAPORE 560128,560128,1.37083202800001,103.843546990613
